#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,polkit,"manages user policies."
,otf-libertinus,"provides the sans and serif fonts for 4ndr0666OS."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
A,lf-git,"is an extensive terminal file manager."
,yazi,"is a blazingly fast terminal file manager."
,ueberzugpp,"enables previews in terminal file managers."
,bc,"is a mathematics language used for the dropdown calculator."
A,wdisplays,"allows the user to customize Wayland monitor arrangements natively."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,mako,"is a lightweight Wayland notification daemon."
,calcurse,"terminal-based organizer for interactive and command line use."
,exfat-utils,"allows management of FAT drives."
A,nsxiv-git,"is a minimalist image viewer."
,awww,"sets the Wayland wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in 4ndr0666OS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features."
,micro,"is an intuitive terminal-based text editor."
,kitty,"is a fast, feature-rich, GPU-based terminal emulator."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-beta-bin,"is a privacy-focused browser with beta channel updates."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the Wayland audio session manager."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is a terminal audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,grim,"takes screenshots on Wayland."
,slurp,"selects a region for Wayland screenshots."
,swappy,"is a Wayland-native screenshot editing tool."
A,abook,"is an offline addressbook usable by neomutt."
,unzip,"unzips zips."
,lynx,"is a terminal browser used for generating in-terminal previews."
,interception-tools,"provides low-level evdev manipulation for key remapping."
,interception-caps2esc,"transforms caps lock into escape/control at the kernel level."
,wl-clipboard,"allows for copying and pasting from the command line in Wayland."
A,cliphist,"is a Wayland clipboard manager."
,ydotool,"provides generic input simulation and automation."
,wtype,"simulates keyboard input on Wayland."
,yt-dlp,"can download any YouTube video (or playlist or channel)."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files."
,brightnessctl,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
,waybar,"serves as the highly customizable Wayland status bar."
A,rofi-lbonn-wayland-git,"runs commands and provides a native Wayland UI for selection."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,hyprlock,"allows you to lock your Wayland session securely."
,hypridle,"manages idle states and screen blanking for Wayland."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance image parsing."
,tesseract-data-eng,"english language pack for OCR."
,network-manager-applet,"provides a system tray icon for NetworkManager."
